id,text,label,notes
1,"Jokic's assist-to-turnover ratio this season is 5.2, the highest recorded for any center in the last 20 years. He's handling the ball more than any other big in the league while maintaining elite efficiency. His playmaking isn't just impressive — it's historically unprecedented for the position.",analysis,
2,"People underestimate how much the Celtics' defense relies on switching. Their defensive rating when they switch every screen is 108.1, compared to 118.4 when they don't. That 10-point gap explains why they keep prioritizing switchable wings over traditional bigs.",analysis,
3,The Warriors dynasty wasn't just about talent — it was spacing. Their championship rosters consistently had four players shooting above 37% from three. That floor spacing is what made Curry's drives and Draymond's passing lanes lethal. No team has replicated that structure since.,analysis,
4,"Luka's playoff numbers are elite — 32.4 points, 9.8 assists, 8.6 rebounds per game over his last three postseason runs. The only players with comparable all-around playoff production at his age were LeBron and Oscar Robertson. The ceiling comparisons aren't hyperbole.",analysis,
5,"The Thunder's net rating this season is +7.2, which would rank top 3 in any season over the last decade. Their defensive rating of 108.4 tells you this isn't just offensive firepower — they've built a genuine two-way roster at an incredibly young average age.",analysis,
6,"Miami's playoff success under Spoelstra is directly tied to role player development. Over the last 8 years, they've had 11 different undrafted or second-round players post a net rating above +5 in a playoff series. That's not luck — it's system and coaching.",analysis,
7,"Tatum's usage rate in the fourth quarter climbs to 38% this postseason, but his true shooting percentage drops from 61% to 54% in those same minutes. The Celtics need to redistribute late-game possessions — the data shows he's less efficient under that volume.",analysis,
8,"The three-point revolution has genuinely changed which teams win championships. Since 2015, every Finals winner has ranked in the top 8 in three-point attempt rate. The one exception — the 2016 Cavaliers — had LeBron playing at a level that compensated for their inefficiency.",analysis,
9,Wembanyama's block rate of 5.7 per 36 minutes is already the highest for a rookie in the shot-tracker era. But what's more impressive is his contest rate — he's altering shots without fouling at a rate that historically only shows up in players 4-5 years into their careers.,analysis,
10,"The Lakers' turnover rate of 16.8% ranks 28th in the league. In games where they turn it over more than 15 times, they're 3-18 this season. That single stat explains their inconsistency better than any narrative about effort or culture.",analysis,
11,Curry's off-ball movement creates more value than his actual shot attempts. Teams that track gravity show opponents spend 1.3 extra defensive possessions per game accounting for him even when he doesn't touch the ball. That's essentially a free possession every 6 minutes.,analysis,
12,The Bucks' offensive rating with Giannis at the five versus at the four is remarkably different — 121.3 when he plays the five versus 114.8 at the four. Doc Rivers has been slow to adapt lineups to what the data clearly shows about their best configuration.,analysis,
13,"Boston's bench mob this season has a net rating of +6.1, ranking second in the league among second units. The key is their transition defense — they give up just 0.87 points per possession in transition, compared to the league average of 1.07.",analysis,
